#Selection name: Selection 1
#Area (µm^2): 17593.82
Cell ID,Cluster,Transcripts,Area (µm^2)
aaaaaban-1,1,8,79.91
aaaaaanh-1,1,7,79.91
aaaaabce-1,1,9,79.91
aaaaabdj-1,0,9,79.91
aaaaabba-1,1,8,79.91
aaaaaapm-1,0,9,79.91
aaaaaane-1,2,8,79.91
aaaaaanf-1,2,9,79.91
aaaaabbb-1,1,9,79.91
aaaaabcf-1,1,9,79.91
aaaaaaoj-1,2,8,79.91
aaaaaang-1,1,8,79.91
aaaaabao-1,1,8,79.91
aaaaaapk-1,1,8,79.91
aaaaaanc-1,0,8,79.91
aaaaabap-1,2,9,79.91
aaaaabcc-1,0,8,79.91
aaaaaaog-1,2,8,79.91
aaaaaand-1,0,9,79.91
aaaaabcd-1,1,7,79.91
aaaaaapl-1,2,7,79.91
aaaaaaoh-1,0,9,79.91
aaaaaaoi-1,1,9,79.91
aaaaaako-1,1,8,79.91
aaaaaamd-1,1,9,79.91
aaaaaama-1,2,8,79.91
aaaaaakm-1,0,9,79.91
aaaaaamb-1,1,8,79.91
aaaaaakn-1,0,7,79.91
aaaaaamc-1,1,10,79.91
aaaaaapj-1,2,9,79.91
aaaaaaof-1,2,7,79.91
