#Selection name: Selection 2
#Area (µm^2): 17440.76
X,Y
202.70,165.52
214.00,165.85
217.40,170.01
217.79,177.95
217.69,186.95
215.18,199.12
213.54,205.92
213.03,206.13
202.80,214.35
185.47,222.54
172.51,229.82
167.57,242.57
167.76,262.28
171.07,289.64
171.39,290.97
179.31,304.84
188.91,318.09
193.78,327.47
191.20,338.05
177.58,346.72
154.88,350.14
144.86,349.97
133.12,354.47
125.23,364.44
120.24,370.99
114.06,367.92
100.13,366.96
93.44,368.55
87.44,376.68
83.90,383.81
75.15,386.29
65.59,387.39
54.41,386.60
43.52,380.37
40.89,373.29
39.93,361.10
47.23,345.03
53.73,340.55
66.09,336.82
78.64,328.85
90.64,319.48
100.57,308.51
105.52,300.25
110.92,288.91
113.39,279.23
113.67,272.06
108.53,268.50
98.70,269.26
89.40,272.39
82.13,282.84
79.04,289.81
76.51,296.38
74.53,305.56
65.66,312.99
52.11,313.45
48.78,296.80
49.40,288.34
50.06,282.04
54.02,273.26
60.21,264.76
68.35,255.24
81.25,244.80
98.42,232.96
98.88,232.87
105.58,228.85
120.54,221.11
128.34,218.71
143.18,213.26
166.46,198.45
180.40,185.02
202.70,165.52
