#Selection name: Selection 1
#Area (µm^2): 693778.57
Cell ID,Cluster,Transcripts,Area (µm^2)
hfdopblc-1,Cluster 1,79,41.75
hfealgci-1,Cluster 1,57,40.37
hfdpcgan-1,Cluster 1,37,17.93
hfeecjcf-1,Cluster 1,53,27.54
hfebccem-1,Cluster 2,38,19.87
hbfkpcea-1,Cluster 1,65,37.76
hbhanpai-1,Cluster 8,42,20.69
hbcfcpcb-1,Cluster 1,35,37.34
hbhblalo-1,Cluster 1,85,50.65
hbgchfcj-1,Cluster 6,56,31.09
hbgdhgkm-1,Cluster 3,99,67.03
hbgifllb-1,Cluster 2,86,38.19
hbglaofp-1,Cluster 15,112,60.75
hbgokdco-1,Cluster 1,105,59.37
hbgpofek-1,Cluster 2,100,62.10
hbgjncce-1,Cluster 6,122,64.88
hbgbgnba-1,Cluster 15,131,52.17
hbfldffi-1,Cluster 2,126,71.22
hbgbiihf-1,Cluster 15,63,17.62
hbgbfhfb-1,Cluster 2,201,87.71
hbfpfpeb-1,Cluster 6,67,48.11
hbfomkhc-1,Cluster 1,61,35.53
hbgacicm-1,Cluster 1,65,40.77
hbfncfog-1,Cluster 8,37,20.66
hbgcibek-1,Cluster 1,116,54.93
hejemlmj-1,Cluster 8,141,57.36
hdnnckho-1,Cluster 8,48,29.27
hdpenejn-1,Cluster 1,67,50.85
hdphfmdc-1,Cluster 8,86,52.37
heackoip-1,Cluster 1,28,22.74
heabmjln-1,Cluster 8,65,86.88
hcmhcicl-1,Cluster 1,87,48.78
hcnffkcc-1,Cluster 15,70,31.93
hcmjcnhe-1,Cluster 15,89,42.41
hcmnnfeg-1,Cluster 15,267,86.33
hcmhilhj-1,Cluster 6,108,75.56
hdodiiin-1,Cluster 1,75,46.82
hdoomdpk-1,Cluster 6,57,42.89
hdpjgbhc-1,Cluster 8,146,70.15
hdpheaki-1,Cluster 1,67,44.68
hdpibmcg-1,Cluster 2,112,51.74
hdpgefoh-1,Cluster 3,47,41.80
hdpeaeil-1,Cluster 1,97,54.95
hdpoebdc-1,Cluster 3,67,40.00
hcpbjjme-1,Cluster 8,113,63.80
hdphahcl-1,Cluster 1,43,40.56
hcpeamhe-1,Cluster 3,81,51.45
hdopkijm-1,Cluster 2,48,23.85
hcmfhofc-1,Cluster 1,43,30.72
hdolndab-1,Cluster 2,88,45.39
hdoehhlp-1,Cluster 15,145,68.62
hdojcpgb-1,Cluster 2,69,37.80
hdpdjpic-1,Cluster 1,72,47.23
hdobedfi-1,Cluster 3,15,10.66
hdoiaonj-1,Cluster 1,20,15.01
hdonnaia-1,Cluster 8,36,22.22
hekfhpgg-1,Cluster 8,86,44.47
hfhagaon-1,Cluster 1,60,43.86
heeogpic-1,Cluster 1,98,60.46
hefhnmom-1,Cluster 2,138,87.15
hekinnid-1,Cluster 2,38,25.28
heelmddl-1,Cluster 6,86,59.17
hekkfflc-1,Cluster 1,63,60.38
hekknmkl-1,Cluster 2,48,29.22
hekilklf-1,Cluster 1,94,56.30
hekjdajf-1,Cluster 1,84,75.61
hekflfgk-1,Cluster 15,85,91.89
hefclnoj-1,Cluster 1,71,35.11
hfgpmcdi-1,Cluster 1,83,43.70
hffjjibj-1,Cluster 2,29,17.45
hfejehhd-1,Cluster 1,60,45.63
hfdppjck-1,Cluster 1,59,37.45
hffihpjf-1,Cluster 8,84,46.54
hfedpmgd-1,Cluster 1,64,45.89
hfejjedk-1,Cluster 6,107,52.56
hfelkgof-1,Cluster 6,69,35.57
hfegkcne-1,Cluster 1,68,42.05
hfedgmle-1,Cluster 1,32,17.72
hgnhafam-1,Cluster 1,76,48.78
hekelmcg-1,Cluster 1,85,72.69
hekfakli-1,Cluster 1,61,47.94
hfdpkald-1,Cluster 8,198,162.03
hfelgmnc-1,Cluster 1,79,89.16
hfegkimp-1,Cluster 1,80,62.93
hffkkpif-1,Cluster 1,47,38.12
hfelddle-1,Cluster 1,84,66.19
hfefbkoc-1,Cluster 1,61,52.66
hejcaenc-1,Cluster 8,29,17.24
hekfobif-1,Cluster 1,25,21.27
hekcbgkc-1,Cluster 1,52,33.52
hekjeiak-1,Cluster 8,73,53.94
hekhmebh-1,Cluster 1,46,33.43
hekkbgam-1,Cluster 8,41,26.54
hdpedfmo-1,Cluster 8,107,80.37
hekjafgf-1,Cluster 1,92,60.65
hekjpbkp-1,Cluster 1,24,13.23
hekgedfo-1,Cluster 1,98,59.69
hekficeg-1,Cluster 1,29,15.82
hdpecjdf-1,Cluster 1,89,70.20
hejmedki-1,Cluster 8,161,77.05
hejmckfe-1,Cluster 8,70,42.87
hejenfhd-1,Cluster 8,49,39.00
hejjkpac-1,Cluster 1,88,39.88
hdnjoaka-1,Cluster 8,25,20.18
hdnmoejo-1,Cluster 1,21,18.69
hekajnbp-1,Cluster 1,44,25.28
hdnkpbol-1,Cluster 3,146,72.13
hejpbplb-1,Cluster 8,51,35.68
hgdhiiml-1,Cluster 1,42,19.35
hekbgefm-1,Cluster 1,72,38.40
hgnfknah-1,Cluster 8,76,34.99
hgndpaik-1,Cluster 1,73,46.16
hekdcknh-1,Cluster 8,80,64.11
hekecbpd-1,Cluster 1,27,17.49
hgnehlae-1,Cluster 1,94,56.33
hekdocae-1,Cluster 8,73,42.59
hgndpbkm-1,Cluster 8,129,83.12
hekdhfpo-1,Cluster 8,69,59.22
hekfhlmb-1,Cluster 8,133,93.34
hgeddenb-1,Cluster 1,86,49.92
hgdhgmca-1,Cluster 1,87,43.14
hgdijeca-1,Cluster 2,80,41.34
heippcjd-1,Cluster 1,50,44.75
hgedgmgm-1,Cluster 8,68,40.55
hgdmoooi-1,Cluster 8,22,18.78
heijloch-1,Cluster 8,41,26.25
hgdipjka-1,Cluster 1,21,18.30
hejbfjih-1,Cluster 8,64,45.94
hdojclbm-1,Cluster 23,17,6.86
hcmopobc-1,Cluster 1,53,28.75
hcnbkinp-1,Cluster 15,26,16.52
hcobabco-1,Cluster 3,55,28.53
hcnghoof-1,Cluster 6,34,21.10
hcnldbna-1,Cluster 6,80,47.12
hcofkalg-1,Cluster 1,55,32.70
hcnedomd-1,Cluster 1,69,34.61
hcnmpakh-1,Cluster 15,38,17.57
hcojgbkk-1,Cluster 1,101,52.04
hcoekckg-1,Cluster 6,45,23.42
hcnfhdnp-1,Cluster 1,56,33.97
hcnkhpak-1,Cluster 1,27,21.72
hbhaakfk-1,Cluster 1,53,24.89
hbhbdpki-1,Cluster 2,31,25.54
hcnpeegk-1,Cluster 8,52,27.03
hcobifpj-1,Cluster 1,19,13.56
hbchgdak-1,Cluster 15,126,54.70
hcolpgke-1,Cluster 1,134,62.60
hcmjfggf-1,Cluster 1,83,74.38
hdpdknfc-1,Cluster 1,50,33.11
hcmidolo-1,Cluster 1,32,33.52
hcmnfdog-1,Cluster 1,63,32.83
hcmeeodf-1,Cluster 1,84,54.50
hdojlkok-1,Cluster 12,153,69.88
hcmnchfp-1,Cluster 1,44,26.32
hdojfpck-1,Cluster 13,309,165.89
hdpckeof-1,Cluster 2,23,13.84
hcmfegml-1,Cluster 1,40,46.46
hcmlhinf-1,Cluster 3,87,52.75
hcmhnkgl-1,Cluster 1,73,59.58
hcmmbmgl-1,Cluster 8,56,40.48
hdoillmo-1,Cluster 8,109,67.32
hcmmidlg-1,Cluster 1,46,34.19
hcmgfilb-1,Cluster 13,80,58.19
hcnaggoe-1,Cluster 1,46,44.89
hcmmbpif-1,Cluster 1,24,14.37
hdoolnmg-1,Cluster 13,178,89.89
hcmodami-1,Cluster 1,66,38.98
hcmjlmcc-1,Cluster 1,88,47.99
hcncljpb-1,Cluster 1,84,47.17
hbgdkgaj-1,Cluster 1,67,33.73
hcoiokjp-1,Cluster 6,159,103.33
hbgkoicf-1,Cluster 2,76,44.00
hcmnoemb-1,Cluster 6,35,22.68
hcnifcgi-1,Cluster 1,74,42.97
hcnmlpef-1,Cluster 8,78,44.24
hcnbigai-1,Cluster 1,79,40.81
hbgngpin-1,Cluster 1,24,14.48
hcncmhak-1,Cluster 1,47,23.10
hcolibnh-1,Cluster 1,80,46.17
hbgacemc-1,Cluster 6,105,71.54
hchfpmgj-1,Cluster 8,109,70.11
hchhnnec-1,Cluster 1,77,46.94
hchpanfc-1,Cluster 6,37,22.22
hchkeaha-1,Cluster 3,83,58.79
hbfmhhal-1,Cluster 1,59,25.42
hchkgooj-1,Cluster 1,30,16.12
hchnglpk-1,Cluster 2,49,24.37
hbgbmibh-1,Cluster 8,78,46.69
hcnomcjb-1,Cluster 1,56,40.90
hdomnmno-1,Cluster 2,85,48.35
hcmglnep-1,Cluster 2,94,43.89
hdophegm-1,Cluster 2,93,47.00
hcmhacdm-1,Cluster 3,57,26.82
hdopfjkd-1,Cluster 1,90,48.44
hcmgeccf-1,Cluster 8,64,28.50
hdojhlfa-1,Cluster 8,34,32.64
hcmhdndn-1,Cluster 8,44,30.02
hdonnpme-1,Cluster 8,21,21.27
hcmdogga-1,Cluster 8,53,40.12
hcmjidmn-1,Cluster 1,94,51.03
heebnpcp-1,Cluster 1,50,36.55
hednnalf-1,Cluster 1,74,45.41
hedpogge-1,Cluster 1,69,46.54
hchakmni-1,Cluster 1,62,50.70
heedknef-1,Cluster 1,26,27.80
hedkjokh-1,Cluster 2,63,43.44
hedopgcp-1,Cluster 2,35,26.08
heeahfpi-1,Cluster 8,80,38.45
hcgohfbn-1,Cluster 2,66,49.54
hejpmaic-1,Cluster 1,56,34.88
hejcdbin-1,Cluster 1,68,39.78
hejoihhk-1,Cluster 13,90,59.56
hdnminhm-1,Cluster 13,161,84.28
hejlocmk-1,Cluster 8,106,54.04
hdofbbof-1,Cluster 13,191,97.30
hejmaaad-1,Cluster 13,175,114.16
hejicdbj-1,Cluster 2,42,32.14
hdofcach-1,Cluster 15,68,38.19
hdocdblf-1,Cluster 13,113,65.36
hejobblh-1,Cluster 23,98,55.12
hdoikndo-1,Cluster 15,83,47.46
hdnlnhnk-1,Cluster 1,56,50.75
hejdanob-1,Cluster 1,34,36.22
hdnmckic-1,Cluster 1,42,28.58
hejoidhp-1,Cluster 6,91,60.30
hdnkhjmm-1,Cluster 8,44,29.92
hdodjnoj-1,Cluster 2,52,50.68
hdnookip-1,Cluster 1,29,20.59
hejlcjfo-1,Cluster 1,80,59.63
hejikmnd-1,Cluster 3,109,58.00
hdogffhe-1,Cluster 23,85,66.83
hdnmjpaj-1,Cluster 13,138,85.29
heinagpb-1,Cluster 1,118,52.84
hgdofbmn-1,Cluster 15,174,74.59
hgdjebad-1,Cluster 2,105,79.74
hejeanjc-1,Cluster 2,104,57.67
heipedal-1,Cluster 2,41,13.75
heijndod-1,Cluster 1,30,20.88
heiijlgo-1,Cluster 1,28,25.66
hgdpfhii-1,Cluster 15,72,40.07
hgdkejfm-1,Cluster 2,53,44.58
heippdhg-1,Cluster 2,61,43.75
hgdgilnl-1,Cluster 2,69,51.03
hgdloeno-1,Cluster 3,197,100.05
hgdiehgf-1,Cluster 2,67,33.33
hgdjfahd-1,Cluster 1,65,36.74
hejbpjjc-1,Cluster 8,57,34.00
hgdhafgm-1,Cluster 8,38,33.16
heioenjb-1,Cluster 8,41,28.66
heimhbhf-1,Cluster 8,81,49.40
heijfblc-1,Cluster 2,99,49.40
hejccdpa-1,Cluster 6,81,34.33
helnoipo-1,Cluster 8,99,53.39
hecpfjfg-1,Cluster 8,90,64.39
hejmiddi-1,Cluster 1,83,86.23
hekaoobd-1,Cluster 1,68,60.36
hejmijha-1,Cluster 1,104,53.27
hdnnkgjj-1,Cluster 8,108,62.06
hdocpmdb-1,Cluster 2,144,86.35
hejknjkj-1,Cluster 8,77,83.23
hdogjmlk-1,Cluster 8,47,31.34
hdogeead-1,Cluster 8,78,54.25
hdoajacm-1,Cluster 1,64,65.59
hdnkjobh-1,Cluster 1,47,34.18
hedmamkf-1,Cluster 1,18,10.33
hedfgede-1,Cluster 1,56,45.99
hemggkka-1,Cluster 8,59,37.20
hedkafhc-1,Cluster 2,41,24.38
hemgknmi-1,Cluster 3,145,90.87
hedfkgpl-1,Cluster 2,50,33.40
hecpleng-1,Cluster 1,69,58.81
hedipmll-1,Cluster 2,109,56.05
hedajolb-1,Cluster 1,89,44.73
heiiomhj-1,Cluster 8,86,75.50
hfmnipaj-1,Cluster 8,76,38.42
heihcolb-1,Cluster 2,184,75.40
hfmkbjin-1,Cluster 1,83,58.38
hfmnggap-1,Cluster 1,99,63.91
hgdlljlm-1,Cluster 1,36,18.07
hejamhfj-1,Cluster 8,66,89.79
heihdkoh-1,Cluster 1,58,60.89
hgeakman-1,Cluster 1,74,33.41
hgdiifgf-1,Cluster 8,56,27.54
hejjmmel-1,Cluster 1,55,35.53
hfmkgokn-1,Cluster 13,175,117.46
heknejfc-1,Cluster 13,93,85.64
heldpcie-1,Cluster 1,29,19.12
heliolnp-1,Cluster 1,64,53.60
helkacep-1,Cluster 8,43,55.06
helhopea-1,Cluster 1,29,16.44
hekmjfkc-1,Cluster 1,71,50.08
hfmmihhm-1,Cluster 1,64,48.71
heljcohn-1,Cluster 8,60,65.65
egcihigd-1,Cluster 1,38,21.48
efojmnjf-1,Cluster 1,60,34.08
agahnden-1,Cluster 8,23,21.50
agahkgpj-1,Cluster 1,59,37.74
eeojdhob-1,Cluster 1,27,18.00
eeombjfa-1,Cluster 15,46,41.08
agalnghb-1,Cluster 2,80,38.82
agajjloi-1,Cluster 1,99,61.99
agalbgbh-1,Cluster 8,132,61.35
agaimkec-1,Cluster 8,107,61.52
